"gene_id"	"proteinId"	"ecNum"	"definition"	"KEGG"	"Amean"	"Fstat.ANOVA"	"rawP.ANOVA"	"FDR.ANOVA"	"FC.Cel_vs_Glu"	"rawP.Cel_vs_Glu"	"FDR.Cel_vs_Glu"	"FC.Xyl_vs_Glu"	"rawP.Xyl_vs_Glu"	"FDR.Xyl_vs_Glu"	"FC.Xyl_vs_Cel"	"rawP.Xyl_vs_Cel"	"FDR.Xyl_vs_Cel"	"LIPO.Cel.1"	"LIPO.Cel.2"	"LIPO.Cel.3"	"LIPO.Glu.1"	"LIPO.Glu.2"	"LIPO.Glu.3"	"LIPO.Xyl.1"	"LIPO.Xyl.2"	"LIPO.Xyl.3"
"fgenesh1_kg.1_-_4_-_Locus7012v1rpkm5.68"	"66869"	NA	NA	NA	4.97517530993167	13.9578998169983	0.00140365247583855	0.00564770781811137	-3.16235559009832	0.00176687010119253	0.00743174270014203	1.16435034088552	0.585565770301788	0.720135594336744	3.68208980933222	0.000756067612357521	0.00530097393964374	4.75251645483113	3.73107797290661	2.90040708615328	5.88855622165679	5.08437457815377	5.39406951472893	5.78940686883803	5.52101741434043	5.71515167777607
"estExt_Genewise1Plus.C_1_t10002"	"89131"	NA	NA	NA	9.5895659289971	10.1853631273065	0.00415239060242749	0.0122307370117794	-18.4200339760276	0.00177136417800251	0.00744647382331625	-1.79470970950676	0.412498995410979	0.574859237041291	10.263517201949	0.00697440445383957	0.0226683240863322	9.54623905518589	7.30689597885238	4.35290562822192	11.6407407290318	11.2594462383	10.9154651471032	10.4181595047849	10.2016681988398	10.664572880654
"CE166_153"	"121283"	NA	NA	NA	1.73882448491591	29.625387342882	7.45511828568533e-05	0.000713032204954464	-3.15873597828688	3.13459363366356e-05	0.000354970271516532	-1.26665256522109	0.1660685184939	0.315097911764519	2.49376669263329	0.000198374895401776	0.00245838266134996	1.16584386481472	0.66032772201086	0.412628014502485	2.40543876842679	2.60371745666762	2.20768544130134	2.1710240836574	2.08213968186887	1.94061533099311
"fgenesh1_kg.1_-_11_-_Locus6662v1rpkm7.09"	"66876"	NA	NA	NA	5.52690882409161	7.01844005593587	0.0130620117234259	0.0285584111879678	-1.66689766088882	0.00456792311148425	0.0153655764879139	-1.17759673004321	0.268620146224052	0.433068511455912	1.41550805837212	0.0324451748786971	0.0695399294859428	4.98242954445803	5.29795764036054	5.06185379220144	6.38053307901837	5.65162974532149	5.52157475120733	5.62060810100555	5.55284810915535	5.67274465409643
"fgenesh1_kg.1_-_15_-_Locus5914v2rpkm8.86"	"66880"	NA	NA	NA	5.94893330991898	21.9391246789647	0.000252986408867655	0.00171737970866036	-3.75301252194382	6.96400355785577e-05	0.000635306667222128	-1.80511122870473	0.0149564802955467	0.0608965586003064	2.07910319445346	0.00463638809664754	0.0168083060500385	5.67431320057364	4.65378215699308	4.55469410152913	6.45720083176067	6.9786697579223	7.17106618078787	5.89555700952496	6.24830902206428	5.90680752811491
"CE148_636"	"121265"	NA	NA	NA	1.42850754944557	0.0571467121053261	0.94477152369303	0.949620463349869	-1.03765801554599	0.860835642888246	0.899659522105366	-1.07182807658997	0.742699697636572	0.834259325232702	-1.03292998322381	0.877860549401325	0.906349973171775	1.50819753379712	1.02530294458703	1.74543358676401	2.01780349518964	1.22706847796486	1.19405523646466	1.07014869288986	1.64669890095285	1.42185907640012
"gw1.1.1006.1"	"42224"	NA	NA	NA	5.81370034950433	7.05968163255868	0.012844288791316	0.0281973451009357	-1.09216533647287	0.374903897675743	0.483389741327405	1.29015612372926	0.0233932254664061	0.0823140121111031	1.4090637969753	0.00495608902568918	0.0175836767766674	5.92317729868296	5.5164915367406	5.37950400640539	5.73036791935374	5.77646955522377	5.69390918891965	6.1344274373904	5.99562648423111	6.17332971859138
"estExt_Genewise1.C_1_t10012"	"76854"	"1.6.5.5"	"NADPH:quinone reductase."	NA	4.56176435122752	25.8195706076718	0.000131378174213928	0.00107470581173071	1.70327583954985	5.17734868180786e-05	0.000507615144902058	1.5080135488162	0.00039250852974363	0.00525311474470722	-1.12948311431746	0.148984310167005	0.226711722357026	4.84213660782971	4.9461186234459	4.84101261846354	4.27693680338037	3.97749043514758	4.06990433119046	4.67540633085331	4.72979322780979	4.69708018292703
"e_gw1.1.1191.1"	"47299"	NA	NA	NA	4.39699998368981	1.27897727706817	0.321437720308844	0.373584273077214	-1.17834458105639	0.142036875748425	0.224839313328942	-1.0800700908147	0.470967516646952	0.626510296772735	1.09098899328614	0.416815518707942	0.508688380113658	4.30888310679686	4.24780157068791	4.27191724141498	4.81829692520563	4.45340867707732	4.2671807728845	4.27656196853144	4.42568056381263	4.50326902679704
"CE234_150"	"121351"	NA	NA	NA	0.431490059128435	2.16079227296415	0.167521282269095	0.216778660337188	-1.46936874482514	0.0971349374285357	0.16635244302314	-1.01572067477971	0.942179690521094	0.965059361041251	1.44662679544631	0.109541588203321	0.178441797403023	0.253467607943005	0.0847504526662843	-0.131637155133044	0.258714979421776	0.547423162477493	1.06603224038029	0.251096707606584	1.02004322466691	0.533519312126623
